闯江湖,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴顿·芬克,8.1,https://movie.douban.com/subject/1298043/,,,,,,,,,,,,,,,,,,,,,,,,,,
成为约翰·马尔科维奇,8.2,https://movie.douban.com/subject/1292279/,,,,,,,,,,,,,,,,,,,,,,,,,,
一天,7.6,https://movie.douban.com/subject/4172585/,7.9,https://movie.douban.com/subject/4191644/,7.5,https://movie.douban.com/subject/30197489/,6.7,https://movie.douban.com/subject/5294313/,,,,,,,,,,,,,,,,,,,,
迷失东京,7.7,https://movie.douban.com/subject/1291835/,,,,,,,,,,,,,,,,,,,,,,,,,,
一夜大肚,6.5,https://movie.douban.com/subject/1950198/,,,,,,,,,,,,,,,,,,,,,,,,,,
两男变错身,6.7,https://movie.douban.com/subject/3927750/,,,,,,,,,,,,,,,,,,,,,,,,,,
哆啦A梦：大雄与天空的理想乡,7.2,https://movie.douban.com/subject/35967711/,,,,,,,,,,,,,,,,,,,,,,,,,,
金刚狼3：殊死一战,8.3,https://movie.douban.com/subject/25765735/,,,,,,,,,,,,,,,,,,,,,,,,,,
金刚狼2,6.6,https://movie.douban.com/subject/3718424/,,,,,,,,,,,,,,,,,,,,,,,,,,
金刚狼,7.5,https://movie.douban.com/subject/1792928/,5.2,https://movie.douban.com/subject/6078948/,,,,,,,,,,,,,,,,,,,,,,,,
X战警：第一战,8.2,https://movie.douban.com/subject/3168089/,,,,,,,,,,,,,,,,,,,,,,,,,,
X战警3：背水一战,7.6,https://movie.douban.com/subject/1401524/,,,,,,,,,,,,,,,,,,,,,,,,,,
X战警：黑凤凰,5.8,https://movie.douban.com/subject/26667010/,,,,,,,,,,,,,,,,,,,,,,,,,,
X战警：天启,7.7,https://movie.douban.com/subject/25786060/,,,,,,,,,,,,,,,,,,,,,,,,,,
X战警：逆转未来,8.2,https://movie.douban.com/subject/10485647/,,,,,,,,,,,,,,,,,,,,,,,,,,
X战警2,7.7,https://movie.douban.com/subject/1305724/,,,,,,,,,,,,,,,,,,,,,,,,,,
X战警,7.8,https://movie.douban.com/subject/1295250/,6.3,https://movie.douban.com/subject/5401543/,,,,,,,,,,,,,,,,,,,,,,,,
旅途的结束，世界的开始,6.5,https://movie.douban.com/subject/30186562/,,,,,,,,,,,,,,,,,,,,,,,,,,
乐园,5.6,https://movie.douban.com/subject/30305551/,6.5,https://movie.douban.com/subject/33393422/,6.6,https://movie.douban.com/subject/26878879/,,,,,,,,,,,,,,,,,,,,,,
微妙爱情,6.9,https://movie.douban.com/subject/6424025/,,,,,,,,,,,,,,,,,,,,,,,,,,
笑傲神探,,,,,,,,,,,,,,,,,,,,,,,,,,,,
